time,series,value,sex_label
18-21,Older Millennials,0.056577321280532035,Men
18-21,Older Millennials,0.38631503094384967,Women
18-21,Younger Millennials,0.09546485227953505,Men
18-21,Younger Millennials,0.3741310304361043,Women
22-25,Older Millennials,0.2017356205952347,Men
22-25,Older Millennials,0.8550917475437383,Women
22-25,Younger Millennials,0.1259617879751094,Men
22-25,Younger Millennials,0.657875247737254,Women
26-30,Older Millennials,0.36980856449153654,Men
26-30,Older Millennials,1.2743327822502317,Women
26-30,Younger Gen X,0.42209080222920714,Men
26-30,Younger Gen X,1.377956005508323,Women
26-30,Younger Millennials,0.3289408110674368,Men
26-30,Younger Millennials,1.003776819716584,Women
31-35,Older Millennials,0.6610612976870726,Men
31-35,Older Millennials,1.6268389043732672,Women
31-35,Younger Gen X,0.6767934990390033,Men
31-35,Younger Gen X,1.5750795650026312,Women
36-40,Older Gen X,0.6660555713470299,Men
36-40,Older Gen X,1.3026898608041446,Women
36-40,Older Millennials,0.7583546374110655,Men
36-40,Older Millennials,1.4064642100676754,Women
36-40,Younger Gen X,0.740590406455498,Men
36-40,Younger Gen X,1.323862259850087,Women
41-45,Older Gen X,0.5053568455194585,Men
41-45,Older Gen X,0.860192746172696,Women
41-45,Younger Gen X,0.5323718467274026,Men
41-45,Younger Gen X,0.9131601977433758,Women
46-50,Older Gen X,0.2890280907802678,Men
46-50,Older Gen X,0.4265212610258511,Women
51-55,Older Gen X,0.1597437890308699,Men
51-55,Older Gen X,0.17661568157541296,Women
