time,series,value,sex_label
18-21,Older Millennials,0.5443259619804343,Men
18-21,Older Millennials,2.0266940286366424,Women
18-21,Younger Millennials,1.047695013327502,Men
18-21,Younger Millennials,2.5361462927680853,Women
22-25,Older Millennials,1.2997842055652162,Men
22-25,Older Millennials,2.263308762636921,Women
22-25,Younger Millennials,1.184437846287438,Men
22-25,Younger Millennials,2.458551503906488,Women
26-30,Older Millennials,1.2327984635281226,Men
26-30,Older Millennials,2.43825628493622,Women
26-30,Younger Gen X,1.0627987746324397,Men
26-30,Younger Gen X,2.230838691013412,Women
26-30,Younger Millennials,1.3727967112873622,Men
26-30,Younger Millennials,2.524015118573061,Women
31-35,Older Millennials,1.3016316059527815,Men
31-35,Older Millennials,2.3651211632115987,Women
31-35,Younger Gen X,1.207579356356951,Men
31-35,Younger Gen X,2.212347928477984,Women
36-40,Older Gen X,1.1056244933319566,Men
36-40,Older Gen X,1.906904668933771,Women
36-40,Older Millennials,1.3524360037741014,Men
36-40,Older Millennials,2.1150772565544975,Women
36-40,Younger Gen X,1.213127692554387,Men
36-40,Younger Gen X,1.8992475371021853,Women
41-45,Older Gen X,0.9761909200362381,Men
41-45,Older Gen X,1.6256947784897229,Women
41-45,Younger Gen X,1.0018379944985758,Men
41-45,Younger Gen X,1.5319379700740825,Women
46-50,Older Gen X,0.7951143820920867,Men
46-50,Older Gen X,1.3228512416311629,Women
51-55,Older Gen X,0.9687352997807974,Men
51-55,Older Gen X,0.9380050029294075,Women
