time,series,value,sex_label
18-21,"Partnered, no child <13",0.04781496364641653,Men
18-21,"Partnered, no child <13",0.03370992788849061,Women
18-21,"Partnered, own child <13",0.7490363333332722,Men
18-21,"Partnered, own child <13",2.4624839905760214,Women
18-21,"Single, no child <13",0.044854727388859914,Men
18-21,"Single, no child <13",0.0945627076121566,Women
18-21,"Single, own child <13",1.622882538552269,Men
18-21,"Single, own child <13",2.2443963828072238,Women
22-25,"Partnered, no child <13",0.01070586630148795,Men
22-25,"Partnered, no child <13",0.04531180881888767,Women
22-25,"Partnered, own child <13",1.3375197477561067,Men
22-25,"Partnered, own child <13",2.4659578709357506,Women
22-25,"Single, no child <13",0.03834877179450136,Men
22-25,"Single, no child <13",0.044655782098279216,Women
22-25,"Single, own child <13",0.8424884504245456,Men
22-25,"Single, own child <13",2.1578800554321025,Women
26-30,"Partnered, no child <13",0.01216269139795827,Men
26-30,"Partnered, no child <13",0.038490714162228594,Women
26-30,"Partnered, own child <13",1.2148269491447863,Men
26-30,"Partnered, own child <13",2.5664308254561137,Women
26-30,"Single, no child <13",0.01308183214639997,Men
26-30,"Single, no child <13",0.026896020516613703,Women
26-30,"Single, own child <13",1.0875135112868841,Men
26-30,"Single, own child <13",1.913504241151018,Women
31-35,"Partnered, no child <13",0.047121241795560063,Men
31-35,"Partnered, no child <13",0.08600270785306087,Women
31-35,"Partnered, own child <13",1.2659919043581713,Men
31-35,"Partnered, own child <13",2.4699041653440674,Women
31-35,"Single, no child <13",0.021163833330796085,Men
31-35,"Single, no child <13",0.08262869867750344,Women
31-35,"Single, own child <13",1.0240761015581483,Men
31-35,"Single, own child <13",1.5463408976713573,Women
36-40,"Partnered, no child <13",0.08384173169348813,Men
36-40,"Partnered, no child <13",0.18983675821292337,Women
36-40,"Partnered, own child <13",1.2132761751947596,Men
36-40,"Partnered, own child <13",2.0710981582695562,Women
36-40,"Single, no child <13",0.024106814650705428,Men
36-40,"Single, no child <13",0.16287113923635305,Women
36-40,"Single, own child <13",1.023992597369413,Men
36-40,"Single, own child <13",1.3547796684651372,Women
41-45,"Partnered, no child <13",0.10862644671872651,Men
41-45,"Partnered, no child <13",0.24371584538360166,Women
41-45,"Partnered, own child <13",0.9911449463303551,Men
41-45,"Partnered, own child <13",1.6503230994923126,Women
41-45,"Single, no child <13",0.03555676744896132,Men
41-45,"Single, no child <13",0.1932998487213114,Women
41-45,"Single, own child <13",0.9770811354684708,Men
41-45,"Single, own child <13",1.3352490061366638,Women
46-50,"Partnered, no child <13",0.11313719898180681,Men
46-50,"Partnered, no child <13",0.18355825750289675,Women
46-50,"Partnered, own child <13",0.7917168469469682,Men
46-50,"Partnered, own child <13",1.338631622579734,Women
46-50,"Single, no child <13",0.018210816354263717,Men
46-50,"Single, no child <13",0.12917222388034505,Women
46-50,"Single, own child <13",1.0779712049668377,Men
46-50,"Single, own child <13",1.2677118337125217,Women
51-55,"Partnered, no child <13",0.06333942988151406,Men
51-55,"Partnered, no child <13",0.11116906700669817,Women
51-55,"Partnered, own child <13",0.8855100711835592,Men
51-55,"Partnered, own child <13",1.0649877741986677,Women
51-55,"Single, no child <13",0.012745264909640333,Men
51-55,"Single, no child <13",0.09328558034747714,Women
51-55,"Single, own child <13",0.8860540909279323,Men
51-55,"Single, own child <13",1.1226743868856415,Women
