year,scenario,value
2025,Temporary with Tariff Revenue,-6.3
2026,Temporary with Tariff Revenue,-6.2
2027,Temporary with Tariff Revenue,-6.1
2028,Temporary with Tariff Revenue,-6.2
2029,Temporary with Tariff Revenue,-6.4
2030,Temporary with Tariff Revenue,-6
2031,Temporary with Tariff Revenue,-5.9
2032,Temporary with Tariff Revenue,-6.1
2033,Temporary with Tariff Revenue,-6.2
2034,Temporary with Tariff Revenue,-6.2
2035,Temporary with Tariff Revenue,-6.3
2036,Temporary with Tariff Revenue,-6.3
2037,Temporary with Tariff Revenue,-6.3
2038,Temporary with Tariff Revenue,-6.4
2039,Temporary with Tariff Revenue,-6.4
2040,Temporary with Tariff Revenue,-6.4
2041,Temporary with Tariff Revenue,-6.5
2042,Temporary with Tariff Revenue,-6.7
2043,Temporary with Tariff Revenue,-6.7
2044,Temporary with Tariff Revenue,-6.8
2045,Temporary with Tariff Revenue,-6.9
2046,Temporary with Tariff Revenue,-7
2047,Temporary with Tariff Revenue,-7.1
2048,Temporary with Tariff Revenue,-7.2
2049,Temporary with Tariff Revenue,-7.3
2050,Temporary with Tariff Revenue,-7.4
2051,Temporary with Tariff Revenue,-7.6
2052,Temporary with Tariff Revenue,-7.7
2053,Temporary with Tariff Revenue,-7.8
2054,Temporary with Tariff Revenue,-7.9
2055,Temporary with Tariff Revenue,-8
2025,Temporary without Tariff Revenue,-6.8
2026,Temporary without Tariff Revenue,-7
2027,Temporary without Tariff Revenue,-6.9
2028,Temporary without Tariff Revenue,-7
2029,Temporary without Tariff Revenue,-7.2
2030,Temporary without Tariff Revenue,-6.8
2031,Temporary without Tariff Revenue,-6.7
2032,Temporary without Tariff Revenue,-6.9
2033,Temporary without Tariff Revenue,-7.1
2034,Temporary without Tariff Revenue,-7.1
2035,Temporary without Tariff Revenue,-7.2
2036,Temporary without Tariff Revenue,-7.3
2037,Temporary without Tariff Revenue,-7.3
2038,Temporary without Tariff Revenue,-7.4
2039,Temporary without Tariff Revenue,-7.4
2040,Temporary without Tariff Revenue,-7.4
2041,Temporary without Tariff Revenue,-7.5
2042,Temporary without Tariff Revenue,-7.7
2043,Temporary without Tariff Revenue,-7.7
2044,Temporary without Tariff Revenue,-7.9
2045,Temporary without Tariff Revenue,-8
2046,Temporary without Tariff Revenue,-8.1
2047,Temporary without Tariff Revenue,-8.2
2048,Temporary without Tariff Revenue,-8.3
2049,Temporary without Tariff Revenue,-8.4
2050,Temporary without Tariff Revenue,-8.5
2051,Temporary without Tariff Revenue,-8.7
2052,Temporary without Tariff Revenue,-8.8
2053,Temporary without Tariff Revenue,-8.9
2054,Temporary without Tariff Revenue,-9
2055,Temporary without Tariff Revenue,-9.2
2025,Permanent with Tariff Revenue,-6.3
2026,Permanent with Tariff Revenue,-6.2
2027,Permanent with Tariff Revenue,-6.1
2028,Permanent with Tariff Revenue,-6.2
2029,Permanent with Tariff Revenue,-6.7
2030,Permanent with Tariff Revenue,-6.7
2031,Permanent with Tariff Revenue,-6.7
2032,Permanent with Tariff Revenue,-6.9
2033,Permanent with Tariff Revenue,-7
2034,Permanent with Tariff Revenue,-7.1
2035,Permanent with Tariff Revenue,-7.1
2036,Permanent with Tariff Revenue,-7.1
2037,Permanent with Tariff Revenue,-7.1
2038,Permanent with Tariff Revenue,-7.2
2039,Permanent with Tariff Revenue,-7.2
2040,Permanent with Tariff Revenue,-7.2
2041,Permanent with Tariff Revenue,-7.3
2042,Permanent with Tariff Revenue,-7.5
2043,Permanent with Tariff Revenue,-7.5
2044,Permanent with Tariff Revenue,-7.6
2045,Permanent with Tariff Revenue,-7.7
2046,Permanent with Tariff Revenue,-7.9
2047,Permanent with Tariff Revenue,-8
2048,Permanent with Tariff Revenue,-8.1
2049,Permanent with Tariff Revenue,-8.2
2050,Permanent with Tariff Revenue,-8.3
2051,Permanent with Tariff Revenue,-8.5
2052,Permanent with Tariff Revenue,-8.6
2053,Permanent with Tariff Revenue,-8.7
2054,Permanent with Tariff Revenue,-8.8
2055,Permanent with Tariff Revenue,-8.9
2025,Permanent without Tariff Revenue,-6.8
2026,Permanent without Tariff Revenue,-7
2027,Permanent without Tariff Revenue,-6.9
2028,Permanent without Tariff Revenue,-7
2029,Permanent without Tariff Revenue,-7.5
2030,Permanent without Tariff Revenue,-7.5
2031,Permanent without Tariff Revenue,-7.6
2032,Permanent without Tariff Revenue,-7.8
2033,Permanent without Tariff Revenue,-7.9
2034,Permanent without Tariff Revenue,-8
2035,Permanent without Tariff Revenue,-8.1
2036,Permanent without Tariff Revenue,-8.1
2037,Permanent without Tariff Revenue,-8.1
2038,Permanent without Tariff Revenue,-8.2
2039,Permanent without Tariff Revenue,-8.2
2040,Permanent without Tariff Revenue,-8.2
2041,Permanent without Tariff Revenue,-8.3
2042,Permanent without Tariff Revenue,-8.5
2043,Permanent without Tariff Revenue,-8.5
2044,Permanent without Tariff Revenue,-8.7
2045,Permanent without Tariff Revenue,-8.8
2046,Permanent without Tariff Revenue,-8.9
2047,Permanent without Tariff Revenue,-9
2048,Permanent without Tariff Revenue,-9.2
2049,Permanent without Tariff Revenue,-9.3
2050,Permanent without Tariff Revenue,-9.4
2051,Permanent without Tariff Revenue,-9.6
2052,Permanent without Tariff Revenue,-9.7
2053,Permanent without Tariff Revenue,-9.8
2054,Permanent without Tariff Revenue,-10
2055,Permanent without Tariff Revenue,-10.1
