group,row,tier,col,value
baseline,primary_deficit,annual,2027,2.34
baseline,primary_deficit,annual,2028,2.13
baseline,primary_deficit,annual,2029,2.274
baseline,primary_deficit,annual,2030,2.056
baseline,primary_deficit,annual,2031,1.9
baseline,primary_deficit,annual,2032,1.909
baseline,primary_deficit,annual,2033,1.987
baseline,primary_deficit,annual,2034,2.081
baseline,primary_deficit,annual,2035,2.084
baseline,primary_deficit,annual,2036,2.079
baseline,primary_deficit,average,avg_2027_31,2.14
baseline,primary_deficit,average,avg_2032_36,2.028
baseline,primary_deficit,average,avg_2027_36,2.084
baseline,deficit,annual,2027,5.665
baseline,deficit,annual,2028,5.643
baseline,deficit,annual,2029,5.952
baseline,deficit,annual,2030,5.886
baseline,deficit,annual,2031,5.889
baseline,deficit,annual,2032,6.057
baseline,deficit,annual,2033,6.256
baseline,deficit,annual,2034,6.47
baseline,deficit,annual,2035,6.57
baseline,deficit,annual,2036,6.669
baseline,deficit,average,avg_2027_31,5.807
baseline,deficit,average,avg_2032_36,6.4044
baseline,deficit,average,avg_2027_36,6.1057
baseline,debt_gdp,annual,2027,102.069
baseline,debt_gdp,annual,2028,104.116
baseline,debt_gdp,annual,2029,105.811
baseline,debt_gdp,annual,2030,107.726
baseline,debt_gdp,annual,2031,109.573
baseline,debt_gdp,annual,2032,111.535
baseline,debt_gdp,annual,2033,113.992
baseline,debt_gdp,annual,2034,116.186
baseline,debt_gdp,annual,2035,117.977
baseline,debt_gdp,annual,2036,120.223
baseline,debt_gdp,average,avg_2027_31,105.859
baseline,debt_gdp,average,avg_2032_36,115.9826
baseline,debt_gdp,average,avg_2027_36,110.9208
reduction,primary_deficit,annual,2027,0.278160000000002
reduction,primary_deficit,annual,2028,0.61402348369796
reduction,primary_deficit,annual,2029,0.817997038168654
reduction,primary_deficit,annual,2030,1.02276799270745
reduction,primary_deficit,annual,2031,1.1722341257549
reduction,primary_deficit,annual,2032,1.31037957443913
reduction,primary_deficit,annual,2033,1.51090262884404
reduction,primary_deficit,annual,2034,1.6169619917856
reduction,primary_deficit,annual,2035,1.61922844638467
reduction,primary_deficit,annual,2036,1.69955744702523
reduction,primary_deficit,average,avg_2027_31,0.781036528065795
reduction,primary_deficit,average,avg_2032_36,1.55140601769573
reduction,primary_deficit,average,avg_2027_36,1.16622127288076
reduction,deficit,annual,2027,0.278160000000002
reduction,deficit,annual,2028,0.625998204107789
reduction,deficit,annual,2029,0.858776421616767
reduction,deficit,annual,2030,1.10649268992759
reduction,deficit,annual,2031,1.31096049022199
reduction,deficit,annual,2032,1.51836066736644
reduction,deficit,annual,2033,1.79639551513032
reduction,deficit,annual,2034,1.9944551621158
reduction,deficit,annual,2035,2.09752105532879
reduction,deficit,annual,2036,2.28368714523646
reduction,deficit,average,avg_2027_31,0.836077561174828
reduction,deficit,average,avg_2032_36,1.93808390903556
reduction,deficit,average,avg_2027_36,1.38708073510519
reduction,debt_gdp,annual,2027,0.27816
reduction,debt_gdp,annual,2028,0.893320937919256
reduction,debt_gdp,annual,2029,1.71874946885997
reduction,debt_gdp,annual,2030,2.76077855740506
reduction,debt_gdp,annual,2031,3.97058083230804
reduction,debt_gdp,annual,2032,5.34364497212793
reduction,debt_gdp,annual,2033,6.94578352966491
reduction,debt_gdp,annual,2034,8.68763571922985
reduction,debt_gdp,annual,2035,10.4689734654127
reduction,debt_gdp,annual,2036,12.3725182521556
reduction,debt_gdp,average,avg_2027_31,1.92431795929847
reduction,debt_gdp,average,avg_2032_36,8.76371118771821
reduction,debt_gdp,average,avg_2027_36,5.34401457350834
resulting,primary_deficit,annual,2027,2.06184
resulting,primary_deficit,annual,2028,1.51597651630204
resulting,primary_deficit,annual,2029,1.45600296183135
resulting,primary_deficit,annual,2030,1.03323200729255
resulting,primary_deficit,annual,2031,0.727765874245096
resulting,primary_deficit,annual,2032,0.598620425560873
resulting,primary_deficit,annual,2033,0.476097371155958
resulting,primary_deficit,annual,2034,0.464038008214399
resulting,primary_deficit,annual,2035,0.464771553615329
resulting,primary_deficit,annual,2036,0.379442552974773
resulting,primary_deficit,average,avg_2027_31,1.35896347193421
resulting,primary_deficit,average,avg_2032_36,0.476593982304266
resulting,primary_deficit,average,avg_2027_36,0.917778727119236
resulting,deficit,annual,2027,5.38684
resulting,deficit,annual,2028,5.01700179589221
resulting,deficit,annual,2029,5.09322357838323
resulting,deficit,annual,2030,4.77950731007241
resulting,deficit,annual,2031,4.57803950977801
resulting,deficit,annual,2032,4.53863933263356
resulting,deficit,annual,2033,4.45960448486968
resulting,deficit,annual,2034,4.4755448378842
resulting,deficit,annual,2035,4.47247894467121
resulting,deficit,annual,2036,4.38531285476354
resulting,deficit,average,avg_2027_31,4.97092243882517
resulting,deficit,average,avg_2032_36,4.46631609096444
resulting,deficit,average,avg_2027_36,4.71861926489481
resulting,debt_gdp,annual,2027,101.79084
resulting,debt_gdp,annual,2028,103.222679062081
resulting,debt_gdp,annual,2029,104.09225053114
resulting,debt_gdp,annual,2030,104.965221442595
resulting,debt_gdp,annual,2031,105.602419167692
resulting,debt_gdp,annual,2032,106.191355027872
resulting,debt_gdp,annual,2033,107.046216470335
resulting,debt_gdp,annual,2034,107.49836428077
resulting,debt_gdp,annual,2035,107.508026534587
resulting,debt_gdp,annual,2036,107.850481747844
resulting,debt_gdp,average,avg_2027_31,103.934682040702
resulting,debt_gdp,average,avg_2032_36,107.218888812282
resulting,debt_gdp,average,avg_2027_36,105.576785426492
