year,scenario,value
2025,Temporary with Tariff Revenue,-3.1
2026,Temporary with Tariff Revenue,-3
2027,Temporary with Tariff Revenue,-2.8
2028,Temporary with Tariff Revenue,-2.7
2029,Temporary with Tariff Revenue,-2.8
2030,Temporary with Tariff Revenue,-2.2
2031,Temporary with Tariff Revenue,-2
2032,Temporary with Tariff Revenue,-2.1
2033,Temporary with Tariff Revenue,-2.2
2034,Temporary with Tariff Revenue,-2.1
2035,Temporary with Tariff Revenue,-2.1
2036,Temporary with Tariff Revenue,-2.1
2037,Temporary with Tariff Revenue,-2.1
2038,Temporary with Tariff Revenue,-2.1
2039,Temporary with Tariff Revenue,-2.1
2040,Temporary with Tariff Revenue,-2
2041,Temporary with Tariff Revenue,-2
2042,Temporary with Tariff Revenue,-2.1
2043,Temporary with Tariff Revenue,-2.1
2044,Temporary with Tariff Revenue,-2.1
2045,Temporary with Tariff Revenue,-2.1
2046,Temporary with Tariff Revenue,-2.1
2047,Temporary with Tariff Revenue,-2.2
2048,Temporary with Tariff Revenue,-2.2
2049,Temporary with Tariff Revenue,-2.2
2050,Temporary with Tariff Revenue,-2.2
2051,Temporary with Tariff Revenue,-2.2
2052,Temporary with Tariff Revenue,-2.3
2053,Temporary with Tariff Revenue,-2.2
2054,Temporary with Tariff Revenue,-2.3
2055,Temporary with Tariff Revenue,-2.3
2025,Temporary without Tariff Revenue,-3.6
2026,Temporary without Tariff Revenue,-3.7
2027,Temporary without Tariff Revenue,-3.5
2028,Temporary without Tariff Revenue,-3.4
2029,Temporary without Tariff Revenue,-3.5
2030,Temporary without Tariff Revenue,-2.9
2031,Temporary without Tariff Revenue,-2.8
2032,Temporary without Tariff Revenue,-2.8
2033,Temporary without Tariff Revenue,-2.9
2034,Temporary without Tariff Revenue,-2.8
2035,Temporary without Tariff Revenue,-2.9
2036,Temporary without Tariff Revenue,-2.8
2037,Temporary without Tariff Revenue,-2.7
2038,Temporary without Tariff Revenue,-2.8
2039,Temporary without Tariff Revenue,-2.7
2040,Temporary without Tariff Revenue,-2.7
2041,Temporary without Tariff Revenue,-2.7
2042,Temporary without Tariff Revenue,-2.7
2043,Temporary without Tariff Revenue,-2.7
2044,Temporary without Tariff Revenue,-2.7
2045,Temporary without Tariff Revenue,-2.7
2046,Temporary without Tariff Revenue,-2.7
2047,Temporary without Tariff Revenue,-2.7
2048,Temporary without Tariff Revenue,-2.7
2049,Temporary without Tariff Revenue,-2.7
2050,Temporary without Tariff Revenue,-2.7
2051,Temporary without Tariff Revenue,-2.7
2052,Temporary without Tariff Revenue,-2.8
2053,Temporary without Tariff Revenue,-2.7
2054,Temporary without Tariff Revenue,-2.8
2055,Temporary without Tariff Revenue,-2.8
2025,Permanent with Tariff Revenue,-3.1
2026,Permanent with Tariff Revenue,-3
2027,Permanent with Tariff Revenue,-2.8
2028,Permanent with Tariff Revenue,-2.7
2029,Permanent with Tariff Revenue,-3.1
2030,Permanent with Tariff Revenue,-3
2031,Permanent with Tariff Revenue,-2.9
2032,Permanent with Tariff Revenue,-2.9
2033,Permanent with Tariff Revenue,-2.9
2034,Permanent with Tariff Revenue,-2.9
2035,Permanent with Tariff Revenue,-2.8
2036,Permanent with Tariff Revenue,-2.8
2037,Permanent with Tariff Revenue,-2.7
2038,Permanent with Tariff Revenue,-2.7
2039,Permanent with Tariff Revenue,-2.7
2040,Permanent with Tariff Revenue,-2.6
2041,Permanent with Tariff Revenue,-2.6
2042,Permanent with Tariff Revenue,-2.6
2043,Permanent with Tariff Revenue,-2.6
2044,Permanent with Tariff Revenue,-2.6
2045,Permanent with Tariff Revenue,-2.6
2046,Permanent with Tariff Revenue,-2.6
2047,Permanent with Tariff Revenue,-2.6
2048,Permanent with Tariff Revenue,-2.6
2049,Permanent with Tariff Revenue,-2.7
2050,Permanent with Tariff Revenue,-2.7
2051,Permanent with Tariff Revenue,-2.7
2052,Permanent with Tariff Revenue,-2.7
2053,Permanent with Tariff Revenue,-2.7
2054,Permanent with Tariff Revenue,-2.7
2055,Permanent with Tariff Revenue,-2.7
2025,Permanent without Tariff Revenue,-3.6
2026,Permanent without Tariff Revenue,-3.7
2027,Permanent without Tariff Revenue,-3.5
2028,Permanent without Tariff Revenue,-3.4
2029,Permanent without Tariff Revenue,-3.8
2030,Permanent without Tariff Revenue,-3.7
2031,Permanent without Tariff Revenue,-3.6
2032,Permanent without Tariff Revenue,-3.6
2033,Permanent without Tariff Revenue,-3.6
2034,Permanent without Tariff Revenue,-3.6
2035,Permanent without Tariff Revenue,-3.5
2036,Permanent without Tariff Revenue,-3.5
2037,Permanent without Tariff Revenue,-3.4
2038,Permanent without Tariff Revenue,-3.4
2039,Permanent without Tariff Revenue,-3.3
2040,Permanent without Tariff Revenue,-3.2
2041,Permanent without Tariff Revenue,-3.2
2042,Permanent without Tariff Revenue,-3.2
2043,Permanent without Tariff Revenue,-3.2
2044,Permanent without Tariff Revenue,-3.2
2045,Permanent without Tariff Revenue,-3.2
2046,Permanent without Tariff Revenue,-3.2
2047,Permanent without Tariff Revenue,-3.2
2048,Permanent without Tariff Revenue,-3.2
2049,Permanent without Tariff Revenue,-3.2
2050,Permanent without Tariff Revenue,-3.2
2051,Permanent without Tariff Revenue,-3.2
2052,Permanent without Tariff Revenue,-3.2
2053,Permanent without Tariff Revenue,-3.2
2054,Permanent without Tariff Revenue,-3.2
2055,Permanent without Tariff Revenue,-3.2
