ai_speed,share_mode,labor_dist,Scenario,instrument,baseline,counterfactual,delta,delta_R_CIT,instrument_label
Slow,Reallocate,Proportional,Slow AI · Reallocated shares · Proportional labor,macro_cit_delta,,,8.366322742,8.366322742,Macro CIT
Slow,Reallocate,Proportional,Slow AI · Reallocated shares · Proportional labor,outlays_tax_credits,-100.9677451,-101.3364677,-0.368722591,8.366322742,Tax credits (outlay)
Slow,Reallocate,Proportional,Slow AI · Reallocated shares · Proportional labor,revenues_income_tax,3010.43359,3014.36905,3.935460011,8.366322742,Income tax
Slow,Reallocate,Proportional,Slow AI · Reallocated shares · Proportional labor,revenues_payroll_tax,1970.92352,1967.156208,-3.76731251,8.366322742,Payroll
Slow,Reallocate,Compressive,Slow AI · Reallocated shares · Compressive labor,macro_cit_delta,,,8.366322742,8.366322742,Macro CIT
Slow,Reallocate,Compressive,Slow AI · Reallocated shares · Compressive labor,outlays_tax_credits,-100.9677451,-100.2501648,0.717580226,8.366322742,Tax credits (outlay)
Slow,Reallocate,Compressive,Slow AI · Reallocated shares · Compressive labor,revenues_income_tax,3010.43359,3005.711389,-4.722201531,8.366322742,Income tax
Slow,Reallocate,Compressive,Slow AI · Reallocated shares · Compressive labor,revenues_payroll_tax,1970.92352,1971.296348,0.372827706,8.366322742,Payroll
Slow,Reallocate,Expansive,Slow AI · Reallocated shares · Expansive labor,macro_cit_delta,,,8.366322742,8.366322742,Macro CIT
Slow,Reallocate,Expansive,Slow AI · Reallocated shares · Expansive labor,outlays_tax_credits,-100.9677451,-102.4208577,-1.453112668,8.366322742,Tax credits (outlay)
Slow,Reallocate,Expansive,Slow AI · Reallocated shares · Expansive labor,revenues_income_tax,3010.43359,3023.090803,12.65721219,8.366322742,Income tax
Slow,Reallocate,Expansive,Slow AI · Reallocated shares · Expansive labor,revenues_payroll_tax,1970.92352,1962.98555,-7.937970643,8.366322742,Payroll
Moderate,Reallocate,Proportional,Moderate AI · Reallocated shares · Proportional labor,macro_cit_delta,,,36.65875696,36.65875696,Macro CIT
Moderate,Reallocate,Proportional,Moderate AI · Reallocated shares · Proportional labor,outlays_tax_credits,-100.9677451,-100.344407,0.623338031,36.65875696,Tax credits (outlay)
Moderate,Reallocate,Proportional,Moderate AI · Reallocated shares · Proportional labor,revenues_income_tax,3010.43359,3073.395109,62.96151822,36.65875696,Income tax
Moderate,Reallocate,Proportional,Moderate AI · Reallocated shares · Proportional labor,revenues_payroll_tax,1970.92352,1975.833681,4.910160332,36.65875696,Payroll
Moderate,Reallocate,Compressive,Moderate AI · Reallocated shares · Compressive labor,macro_cit_delta,,,36.65875696,36.65875696,Macro CIT
Moderate,Reallocate,Compressive,Moderate AI · Reallocated shares · Compressive labor,outlays_tax_credits,-100.9677451,-93.68882213,7.278922945,36.65875696,Tax credits (outlay)
Moderate,Reallocate,Compressive,Moderate AI · Reallocated shares · Compressive labor,revenues_income_tax,3010.43359,3021.555407,11.12181698,36.65875696,Income tax
Moderate,Reallocate,Compressive,Moderate AI · Reallocated shares · Compressive labor,revenues_payroll_tax,1970.92352,2000.711597,29.78807636,36.65875696,Payroll
Moderate,Reallocate,Expansive,Moderate AI · Reallocated shares · Expansive labor,macro_cit_delta,,,36.65875696,36.65875696,Macro CIT
Moderate,Reallocate,Expansive,Moderate AI · Reallocated shares · Expansive labor,outlays_tax_credits,-100.9677451,-106.8586838,-5.890938686,36.65875696,Tax credits (outlay)
Moderate,Reallocate,Expansive,Moderate AI · Reallocated shares · Expansive labor,revenues_income_tax,3010.43359,3127.668634,117.2350441,36.65875696,Income tax
Moderate,Reallocate,Expansive,Moderate AI · Reallocated shares · Expansive labor,revenues_payroll_tax,1970.92352,1949.915168,-21.00835191,36.65875696,Payroll
Rapid,Reallocate,Proportional,Rapid AI · Reallocated shares · Proportional labor,macro_cit_delta,,,84.0011711,84.0011711,Macro CIT
Rapid,Reallocate,Proportional,Rapid AI · Reallocated shares · Proportional labor,outlays_tax_credits,-100.9677451,-101.8956541,-0.927909073,84.0011711,Tax credits (outlay)
Rapid,Reallocate,Proportional,Rapid AI · Reallocated shares · Proportional labor,revenues_income_tax,3010.43359,3109.395252,98.96166129,84.0011711,Income tax
Rapid,Reallocate,Proportional,Rapid AI · Reallocated shares · Proportional labor,revenues_payroll_tax,1970.92352,1959.63485,-11.28867027,84.0011711,Payroll
Rapid,Reallocate,Compressive,Rapid AI · Reallocated shares · Compressive labor,macro_cit_delta,,,84.0011711,84.0011711,Macro CIT
Rapid,Reallocate,Compressive,Rapid AI · Reallocated shares · Compressive labor,outlays_tax_credits,-100.9677451,-88.56707197,12.4006731,84.0011711,Tax credits (outlay)
Rapid,Reallocate,Compressive,Rapid AI · Reallocated shares · Compressive labor,revenues_income_tax,3010.43359,3009.054634,-1.378955892,84.0011711,Income tax
Rapid,Reallocate,Compressive,Rapid AI · Reallocated shares · Compressive labor,revenues_payroll_tax,1970.92352,2007.604514,36.68099367,84.0011711,Payroll
Rapid,Reallocate,Expansive,Rapid AI · Reallocated shares · Expansive labor,macro_cit_delta,,,84.0011711,84.0011711,Macro CIT
Rapid,Reallocate,Expansive,Rapid AI · Reallocated shares · Expansive labor,outlays_tax_credits,-100.9677451,-114.4689205,-13.5011754,84.0011711,Tax credits (outlay)
Rapid,Reallocate,Expansive,Rapid AI · Reallocated shares · Expansive labor,revenues_income_tax,3010.43359,3219.402501,208.968911,84.0011711,Income tax
Rapid,Reallocate,Expansive,Rapid AI · Reallocated shares · Expansive labor,revenues_payroll_tax,1970.92352,1907.499274,-63.42424659,84.0011711,Payroll
