age_bin,hhtype,sex_label,mean_hours
18-21,"Partnered, no child <13",Men,4.531427038962899
18-21,"Partnered, no child <13",Women,2.830934065645059
18-21,"Partnered, own child <13",Men,5.722324310233766
18-21,"Partnered, own child <13",Women,1.500945808367427
18-21,"Single, no child <13",Men,2.6529029105811235
18-21,"Single, no child <13",Women,2.221362888728151
18-21,"Single, own child <13",Men,3.43966741825955
18-21,"Single, own child <13",Women,1.9808205080552321
22-25,"Partnered, no child <13",Men,5.273642286574885
22-25,"Partnered, no child <13",Women,4.021228708937883
22-25,"Partnered, own child <13",Men,5.061496383854534
22-25,"Partnered, own child <13",Women,1.8037986826723977
22-25,"Single, no child <13",Men,4.043375792444076
22-25,"Single, no child <13",Women,4.129486425663325
22-25,"Single, own child <13",Men,4.554376795676086
22-25,"Single, own child <13",Women,3.0265792143379793
26-30,"Partnered, no child <13",Men,5.62894410017718
26-30,"Partnered, no child <13",Women,4.595679864377435
26-30,"Partnered, own child <13",Men,5.485597725281749
26-30,"Partnered, own child <13",Women,2.6100930523443617
26-30,"Single, no child <13",Men,5.128338080820618
26-30,"Single, no child <13",Women,4.654421086595297
26-30,"Single, own child <13",Men,4.727267890871701
26-30,"Single, own child <13",Women,3.432446806526084
31-35,"Partnered, no child <13",Men,5.615280053433879
31-35,"Partnered, no child <13",Women,4.34439129513173
31-35,"Partnered, own child <13",Men,5.4191665972614596
31-35,"Partnered, own child <13",Women,2.880585654506408
31-35,"Single, no child <13",Men,4.986274240781363
31-35,"Single, no child <13",Women,4.70614853407813
31-35,"Single, own child <13",Men,5.483921660855368
31-35,"Single, own child <13",Women,3.5456859469980255
36-40,"Partnered, no child <13",Men,5.43285241404471
36-40,"Partnered, no child <13",Women,4.447418453283224
36-40,"Partnered, own child <13",Men,5.596306470865215
36-40,"Partnered, own child <13",Women,3.1658201413751152
36-40,"Single, no child <13",Men,5.092661829340998
36-40,"Single, no child <13",Women,4.494857913343354
36-40,"Single, own child <13",Men,5.1541161988101765
36-40,"Single, own child <13",Women,3.7726239399494985
41-45,"Partnered, no child <13",Men,5.548498367370882
41-45,"Partnered, no child <13",Women,4.033988519253614
41-45,"Partnered, own child <13",Men,5.711748278483693
41-45,"Partnered, own child <13",Women,3.272169700706984
41-45,"Single, no child <13",Men,4.881349138340411
41-45,"Single, no child <13",Women,4.115794469111131
41-45,"Single, own child <13",Men,4.894294705694576
41-45,"Single, own child <13",Women,4.11882988592164
46-50,"Partnered, no child <13",Men,5.526819623813337
46-50,"Partnered, no child <13",Women,3.893396532350459
46-50,"Partnered, own child <13",Men,5.510074040169216
46-50,"Partnered, own child <13",Women,3.3455362239432747
46-50,"Single, no child <13",Men,4.567500680383462
46-50,"Single, no child <13",Women,4.099249530320098
46-50,"Single, own child <13",Men,5.595991510594014
46-50,"Single, own child <13",Women,3.9978445575563644
51-55,"Partnered, no child <13",Men,5.396740418340784
51-55,"Partnered, no child <13",Women,3.6653529733486794
51-55,"Partnered, own child <13",Men,5.36316415556102
51-55,"Partnered, own child <13",Women,3.473018527579071
51-55,"Single, no child <13",Men,4.116583383583808
51-55,"Single, no child <13",Women,4.1173571025336955
51-55,"Single, own child <13",Men,5.119933442860404
51-55,"Single, own child <13",Women,3.9065114659018083
