time,value
1980-01-01,-0.164
1980-02-01,-0.231
1980-03-01,-0.335
1980-04-01,-0.502
1980-05-01,-0.623
1980-06-01,-0.624
1980-07-01,-0.412
1980-08-01,-0.283
1980-09-01,-0.152
1980-10-01,-0.096
1980-11-01,-0.079
1980-12-01,-0.077
1981-01-01,-0.003
1981-02-01,0.0
1981-03-01,-0.049
1981-04-01,-0.062
1981-05-01,0.0
1981-06-01,0.0
1981-07-01,0.0
1981-08-01,0.0
1981-09-01,-0.05
1981-10-01,-0.156
1981-11-01,-0.152
1981-12-01,-0.147
1982-01-01,-0.142
1982-02-01,-0.215
1982-03-01,-0.203
1982-04-01,-0.217
1982-05-01,-0.23
1982-06-01,-0.24
1982-07-01,-0.259
1982-08-01,-0.213
1982-09-01,-0.178
1982-10-01,-0.163
1982-11-01,-0.161
1982-12-01,-0.164
1983-01-01,-0.075
1983-02-01,-0.075
1983-03-01,-0.081
1983-04-01,0.0
1983-05-01,-0.046
1983-06-01,-0.026
1983-07-01,-0.02
1983-08-01,-0.035
1983-09-01,-0.043
1983-10-01,-0.114
1983-11-01,-0.14
1983-12-01,-0.08
1984-01-01,-0.045
1984-02-01,-0.043
1984-03-01,-0.029
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,-0.089
1984-07-01,0.0
1984-08-01,0.0
1984-09-01,-0.006
1984-10-01,-0.025
1984-11-01,-0.002
1984-12-01,0.0
1985-01-01,0.0
1985-02-01,0.0
1985-03-01,-0.021
1985-04-01,-0.031
1985-05-01,-0.012
1985-06-01,0.0
1985-07-01,-0.04
1985-08-01,-0.143
1985-09-01,-0.12
1985-10-01,-0.113
1985-11-01,-0.014
1985-12-01,0.0
1986-01-01,-0.015
1986-02-01,-0.075
1986-03-01,-0.174
1986-04-01,-0.11
1986-05-01,0.0
1986-06-01,0.0
1986-07-01,-0.086
1986-08-01,-0.15
1986-09-01,-0.08
1986-10-01,-0.062
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,-0.05
1987-03-01,0.0
1987-04-01,-0.172
1987-05-01,-0.065
1987-06-01,-0.018
1987-07-01,-0.019
1987-08-01,-0.055
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,-0.093
1987-12-01,-0.112
1988-01-01,-0.06
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,-0.058
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,-0.035
1988-12-01,0.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.0
1989-04-01,0.0
1989-05-01,0.0
1989-06-01,0.0
1989-07-01,0.0
1989-08-01,0.0
1989-09-01,-0.035
1989-10-01,0.0
1989-11-01,0.0
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.0
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,-0.034
1990-06-01,0.0
1990-07-01,0.0
1990-08-01,-0.19
1990-09-01,-0.257
1990-10-01,-0.22
1990-11-01,-0.214
1990-12-01,-0.241
1991-01-01,-0.302
1991-02-01,-0.294
1991-03-01,-0.197
1991-04-01,-0.127
1991-05-01,-0.136
1991-06-01,-0.016
1991-07-01,-0.026
1991-08-01,-0.019
1991-09-01,-0.031
1991-10-01,-0.039
1991-11-01,-0.118
1991-12-01,-0.113
1992-01-01,-0.012
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,-0.02
1992-08-01,0.0
1992-09-01,-0.045
1992-10-01,-0.059
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,0.0
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,0.0
1993-12-01,0.0
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,-0.001
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,-0.035
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,-0.007
1998-08-01,0.0
1998-09-01,-0.142
1998-10-01,-0.126
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
