category,panel,value
Other FTA partners,By trading partner,3.0143586555066264
European Union,By trading partner,2.0086512566578483
Canada,By trading partner,1.8874551160091655
Mexico,By trading partner,1.4855031202977598
United Kingdom,By trading partner,1.309999191895085
Rest of world,By trading partner,1.1316405631324118
Japan,By trading partner,0.2647995695720393
China,By trading partner,0.20412586865378657
Pharma & basic chem.,By product (GTAP sector),10.76247570865202
Iron & steel,By product (GTAP sector),8.4547086823824
Metal products,By product (GTAP sector),5.2560972682017955
Non-ferrous metals,By product (GTAP sector),2.557389823212958
Petroleum & coal prod.,By product (GTAP sector),1.5030545632429662
Motor vehicles & parts,By product (GTAP sector),0.9636514821145035
Wood products,By product (GTAP sector),0.7075302897666571
Electrical equip.,By product (GTAP sector),0.5518471384318211
Other transport eq.,By product (GTAP sector),0.5337488406655755
Other manufactures,By product (GTAP sector),0.3934422190518978
Machinery & equip.,By product (GTAP sector),0.29608148923583144
Electronics,By product (GTAP sector),0.2601142105726373
Other mining extraction,By product (GTAP sector),0.09037269397977654
Chemicals,By product (GTAP sector),0.03681746686083098
Beverages & tobacco,By product (GTAP sector),0.013173188171795025
Mineral products,By product (GTAP sector),0.008334707188438095
Other animal prod.,By product (GTAP sector),0.0034381563966969786
Vegetables & fruit,By product (GTAP sector),8.329223760111804e-4
Vegetable oils,By product (GTAP sector),8.838751023532154e-6
Cattle & sheep,By product (GTAP sector),0
Electricity,By product (GTAP sector),0
Fishing,By product (GTAP sector),0
Gas,By product (GTAP sector),0
Dairy,By product (GTAP sector),0
Other crops,By product (GTAP sector),0
Oil,By product (GTAP sector),0
Other meat,By product (GTAP sector),0
Oilseeds,By product (GTAP sector),0
Processed rice,By product (GTAP sector),0
Paper & publishing,By product (GTAP sector),0
Sugar,By product (GTAP sector),0
Apparel,By product (GTAP sector),-1.8642944993096933e-4
Leather & footwear,By product (GTAP sector),-0.0031179181258274014
Rubber & plastics,By product (GTAP sector),-0.026779375839765862
Other food,By product (GTAP sector),-0.046582318936328804
Textiles,By product (GTAP sector),-0.060244879816018226
Bovine meat,By product (GTAP sector),-0.11671445259153579
