date,panel,value
2022-01-01,Share unemployed 27 weeks & over,25.2
2022-01-01,Exhaustion rate,40.3
2022-02-01,Share unemployed 27 weeks & over,26.9
2022-02-01,Exhaustion rate,38.7
2022-03-01,Share unemployed 27 weeks & over,23.1
2022-03-01,Exhaustion rate,35.6
2022-04-01,Share unemployed 27 weeks & over,23.5
2022-04-01,Exhaustion rate,34.0
2022-05-01,Share unemployed 27 weeks & over,22.3
2022-05-01,Exhaustion rate,32.7
2022-06-01,Share unemployed 27 weeks & over,22.9
2022-06-01,Exhaustion rate,31.7
2022-07-01,Share unemployed 27 weeks & over,19.3
2022-07-01,Exhaustion rate,31.0
2022-08-01,Share unemployed 27 weeks & over,20.2
2022-08-01,Exhaustion rate,30.4
2022-09-01,Share unemployed 27 weeks & over,19.4
2022-09-01,Exhaustion rate,29.5
2022-10-01,Share unemployed 27 weeks & over,20.2
2022-10-01,Exhaustion rate,30.1
2022-11-01,Share unemployed 27 weeks & over,20.9
2022-11-01,Exhaustion rate,30.7
2022-12-01,Share unemployed 27 weeks & over,18.5
2022-12-01,Exhaustion rate,31.3
2023-01-01,Share unemployed 27 weeks & over,19.0
2023-01-01,Exhaustion rate,31.9
2023-02-01,Share unemployed 27 weeks & over,17.8
2023-02-01,Exhaustion rate,32.1
2023-03-01,Share unemployed 27 weeks & over,18.2
2023-03-01,Exhaustion rate,32.6
2023-04-01,Share unemployed 27 weeks & over,19.1
2023-04-01,Exhaustion rate,33.5
2023-05-01,Share unemployed 27 weeks & over,19.2
2023-05-01,Exhaustion rate,34.0
2023-06-01,Share unemployed 27 weeks & over,18.8
2023-06-01,Exhaustion rate,34.3
2023-07-01,Share unemployed 27 weeks & over,20.2
2023-07-01,Exhaustion rate,34.5
2023-08-01,Share unemployed 27 weeks & over,21.2
2023-08-01,Exhaustion rate,34.7
2023-09-01,Share unemployed 27 weeks & over,19.4
2023-09-01,Exhaustion rate,35.2
2023-10-01,Share unemployed 27 weeks & over,20.5
2023-10-01,Exhaustion rate,36.0
2023-11-01,Share unemployed 27 weeks & over,18.6
2023-11-01,Exhaustion rate,36.2
2023-12-01,Share unemployed 27 weeks & over,20.0
2023-12-01,Exhaustion rate,36.5
2024-01-01,Share unemployed 27 weeks & over,20.7
2024-01-01,Exhaustion rate,36.6
2024-02-01,Share unemployed 27 weeks & over,18.9
2024-02-01,Exhaustion rate,36.9
2024-03-01,Share unemployed 27 weeks & over,19.7
2024-03-01,Exhaustion rate,37.2
2024-04-01,Share unemployed 27 weeks & over,19.6
2024-04-01,Exhaustion rate,37.4
2024-05-01,Share unemployed 27 weeks & over,20.7
2024-05-01,Exhaustion rate,37.4
2024-06-01,Share unemployed 27 weeks & over,22.3
2024-06-01,Exhaustion rate,37.9
2024-07-01,Share unemployed 27 weeks & over,21.5
2024-07-01,Exhaustion rate,38.0
2024-08-01,Share unemployed 27 weeks & over,21.4
2024-08-01,Exhaustion rate,38.0
2024-09-01,Share unemployed 27 weeks & over,23.5
2024-09-01,Exhaustion rate,38.6
2024-10-01,Share unemployed 27 weeks & over,22.8
2024-10-01,Exhaustion rate,38.4
2024-11-01,Share unemployed 27 weeks & over,23.1
2024-11-01,Exhaustion rate,38.6
2024-12-01,Share unemployed 27 weeks & over,22.3
2024-12-01,Exhaustion rate,39.4
2025-01-01,Share unemployed 27 weeks & over,21.1
2025-01-01,Exhaustion rate,38.9
2025-02-01,Share unemployed 27 weeks & over,20.9
2025-02-01,Exhaustion rate,39.2
2025-03-01,Share unemployed 27 weeks & over,21.3
2025-03-01,Exhaustion rate,39.6
2025-04-01,Share unemployed 27 weeks & over,23.5
2025-04-01,Exhaustion rate,39.5
2025-05-01,Share unemployed 27 weeks & over,20.4
2025-05-01,Exhaustion rate,39.8
2025-06-01,Share unemployed 27 weeks & over,23.3
2025-06-01,Exhaustion rate,39.5
2025-07-01,Share unemployed 27 weeks & over,24.9
2025-07-01,Exhaustion rate,39.5
2025-08-01,Share unemployed 27 weeks & over,25.6
2025-08-01,Exhaustion rate,39.8
2025-09-01,Share unemployed 27 weeks & over,23.6
2025-09-01,Exhaustion rate,39.8
2025-11-01,Share unemployed 27 weeks & over,24.4
2025-11-01,Exhaustion rate,40.1
2025-12-01,Share unemployed 27 weeks & over,26.0
2025-12-01,Exhaustion rate,39.7
2026-01-01,Share unemployed 27 weeks & over,24.7
2026-01-01,Exhaustion rate,39.8
2026-02-01,Share unemployed 27 weeks & over,25.3
2026-02-01,Exhaustion rate,39.8
2026-03-01,Share unemployed 27 weeks & over,25.4
2026-03-01,Exhaustion rate,39.7
2026-04-01,Share unemployed 27 weeks & over,25.3
2026-04-01,Exhaustion rate,39.5
2026-05-01,Share unemployed 27 weeks & over,27.5
2026-05-01,Exhaustion rate,39.5
2026-06-01,Share unemployed 27 weeks & over,27.3
2026-06-01,Exhaustion rate,39.3
